Rank,Name,Park,Location,Supplier,Year,Awarded
24,Behemoth,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2008,2016
25,Black Mamba,Phantasialand,"Brühl, Germany",B&M,2006,2016
26,Twisted Colossus,Six Flags Magic Mountain,"Valencia, Calif.",RMC,2015,2016
27,Mind Bender,Six Flags Over Georgia,"Austell, Ga.",Schwarzkopf,1978,2016
28,Storm Chaser,Kentucky Kingdom,"Louisville, Ky.",RMC,2016,2016
29,Helix,Liseberg,"Gothenburg, Sweden",Mack,2014,2016
30,Alpengeist,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1997,2016
31,Goliath,La Ronde,"Montreal, Quebec, Canada",B&M,2006,2016
32,Raging Bull,Six Flags Great America,"Gurnee, Ill.",B&M,1999,2016
32,Taron,Phantasialand,"Brühl, Germany",Intamin,2016,2016
34,Thunderbird,Holiday World,"Santa Claus, Ind.",B&M,2015,2016
35,Mako,SeaWorld Orlando,"Orlando, Fla.",B&M,2016,2016
