Rank,Name,Park,Location,Supplier,Year,Awarded,Type,Design,Status,Opened,City,Region,Country,Make,Length (ft),Height (ft),Speed (mph),Inversions,Elements,Drop (ft),Duration,G-Force,Vertical Angle (°),Uphill Length (ft),Downhill Length (ft),Δ Elevation (ft),Airtime Points,Crossings,Bank Angle (°),Drop,Designer
32,Goliath,Six Flags Great America,"Gurnee, Illinois",Rocky Mountain Const.,2014,2023,Wood,Sit Down,Operating,6/19/2014,Gurnee,Illinois,United States,Rocky Mountain Construction,3100,165.0,72.0,2.0,"['Chain Lift Hill', 'Tunnel', 'Over-Banked Curve', 'Dive Loop', 'Zero-G Stall', 'Tunnel']",180.0,,,85.0,,,,,,,,
33,Texas Stingray,SeaWorld San Antonio,"San Antonio, Texas",Great Coasters Int.,2020,2023,Wood,Sit Down,Operating,2/22/2020,San Antonio,Texas,United States,Great Coasters International,3379,96.0,55.0,0.0,"['Chain Lift Hill', 'Tunnel']",100.0,,,,,,,,,,,
34,White Lightning,Fun Spot America,"Orlando, Florida",Great Coasters Int.,2013,2023,Wood,Sit Down,Operating,13-May,Orlando,Florida,United States,Great Coasters International,2032,69.7,44.3,0.0,['Chain Lift Hill'],67.2,1:15,,,,,,,,,,
36,Cú Chulainn,Emerald Park,"Ashbourne, Ireland",The Gravity Group,2015,2023,Wood,Sit Down,Operating,6/6/2015,Ashbourne,Meath,Ireland,Gravitykraft Corporation,3590,105.0,56.0,0.0,"['Chain Lift Hill', 'Tunnel', 'Over-Banked Curve', 'Tunnel']",105.8,2:45,,65.0,,,,19.0,,,,
38,T Express,Everland,"Youjinsi, South Korea",Intamin,2008,2023,Wood,Sit Down,Operating,3/14/2008,Yongin-si,Gyeonggi-do,South Korea,Intamin Amusement Rides,5383,183.8,64.6,0.0,['Cable Lift Hill'],150.9,,,77.0,,,,,,,,
39,Boss,Six Flags St. Louis,"Eureka, Missouri",Custom Coasters Int.,2000,2023,Wood,Sit Down,Operating,4/29/2000,Eureka,Missouri,United States,"Custom Coasters International, Inc.",4631,122.0,66.3,0.0,['Chain Lift Hill'],150.0,,,52.0,,,,,,,,
41,Racer,Kennywood,"West Mifflin, Pennsylvania",Miller,1927,2023,Wood,Sit Down,Operating,1927,West Mifflin,Pennsylvania,United States,,4500,72.5,40.0,0.0,"['Chain Lift Hill', 'Chain Lift Hill']",50.0,1:32,,,,,,,,,,
41,Racer,Kennywood,"West Mifflin, Pennsylvania",Miller,1927,2023,Wood,Sit Down,Removed,1910,West Mifflin,Pennsylvania,United States,,0,,,0.0,,,,,,,,,,,,,
42,Cornball Express,Indiana Beach,"Monticello, Indiana",Custom Coasters Int.,1999,2023,Wood,Sit Down,Operating,5/18/2001,Monticello,Indiana,United States,"Custom Coasters International, Inc.",2100,55.0,45.0,0.0,,,,,,,,,,,,,
42,Grizzly,Kings Dominion,"Doswell, Virginia",KECO,1982,2023,Wood,Sit Down,Operating,3/27/1982,Doswell,Virginia,United States,,3150,87.0,,0.0,['Chain Lift Hill'],,2:30,,,,,,,,,,
45,InvadR,Busch Gardens Williamsburg,"Williamsburg, Virginia",Great Coasters Int.,2017,2023,Wood,Sit Down,Operating,4/7/2017,Williamsburg,Virginia,United States,Great Coasters International,2118,,48.0,0.0,,74.0,,,,,,,,,,,
45,Viper,Six Flags Great America,"Gurnee, Illinois",Starkey,1995,2023,Wood,Sit Down,Operating,4/29/1995,Gurnee,Illinois,United States,,3458,100.0,50.0,0.0,['Chain Lift Hill'],80.0,1:45,,53.0,,,,,,,,
47,Wicker Man,Alton Towers,"Staffordshire, England",Great Coasters Int.,2018,2023,Wood,Sit Down,Operating,3/20/2018,Staffordshire,England,United Kingdom,Great Coasters International,2608,,43.6,0.0,"['Tunnel', 'Chain Lift Hill', 'Tunnel', 'Tunnel']",72.2,3:30,,,,,,,,68.0,,
49,Comet,Hersheypark,"Hershey, Pennsylvania",PTC/Shmeck,1946,2023,Wood,Sit Down,Operating,5/30/1946,Hershey,Pennsylvania,United States,"Philadelphia Toboggan Coasters, Inc.",3360,84.0,50.0,0.0,['Chain Lift Hill'],78.0,1:45,,,,,,,,,,
1,Fury 325,Carowinds,"Charlotte, North Carolina",B&M,2015,2021,Steel,Sit Down,Operating,3/28/2015,Charlotte,North Carolina,United States,Bolliger & Mabillard,6602,325.0,95.0,0.0,['Chain Lift Hill'],320.0,,,81.0,,,,,,,,
2,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,2021,Steel,Sit Down,Operating,5/13/2000,Sandusky,Ohio,United States,Intamin Amusement Rides,6595,310.0,93.0,0.0,"['Cable Lift Hill', 'Over-Banked Curve', 'Tunnel', 'Hill', 'Over-Banked Curve', 'Over-Banked Curve', 'Hill', 'Tunnel', 'Over-Banked Curve']",300.0,2:20,,80.0,,,,,,,,
3,Steel Vengeance,Cedar Point,"Sandusky, Ohio",Rocky Mountain,2018,2021,Steel,Sit Down,Operating,5/5/2018,Sandusky,Ohio,United States,Rocky Mountain Construction,5740,205.0,74.0,4.0,"['Chain Lift Hill', 'Outward Banked Airtime Hill', 'Zero-G Roll (variant)', 'Zero-G Stall', 'Block Brake', 'Zero-G Roll', 'Zero-G Roll', 'Over-Banked Curve']",200.0,2:30,,90.0,,,,,,,,
5,Candymonium,Hersheypark,"Hershey, Pennsylvania",B&M,2020,2021,Steel,Sit Down,Operating,7/3/2020,Hershey,Pennsylvania,United States,Bolliger & Mabillard,4636,210.0,76.0,0.0,"['Chain Lift Hill', 'Hill', 'Hill']",,2:26,,77.3,,,,7.0,,,,
6,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001,2021,Steel,Sit Down,Operating,6/18/2001,Hassloch,Rhineland-Palatinate,Germany,Intamin Amusement Rides,4002,173.9,74.6,0.0,"['Cable Lift Hill', 'Over-Banked Curve']",,1:15,4.5,82.0,,,,,,,,
7,Lightning Rod,Dollywood,"Pigeon Forge, Tennessee",Rocky Mountain,2016,2021,Steel,Sit Down,Operating,6/13/2016,Pigeon Forge,Tennessee,United States,Rocky Mountain Construction,3800,,73.0,0.0,['Chain Lift Hill'],165.0,,3.5,73.0,,,,,,,,
9,Maverick,Cedar Point,"Sandusky, Ohio",Intamin,2007,2021,Steel,Sit Down,Operating,5/26/2007,Sandusky,Ohio,United States,Intamin Amusement Rides,4450,105.0,70.0,2.0,"['LSM Lift Hill', 'Twisted Horseshoe Roll', 'Tunnel', 'LSM Launch (rolling)', 'Over-Banked Curve', 'Over-Banked Curve']",100.0,2:30,,95.0,,,,,,,,
10,Taron,Phantasialand,"Brühl, Germany",Intamin,2016,2021,Steel,Sit Down,Operating,6/30/2016,Brühl,North Rhine-Westphalia,Germany,Intamin Amusement Rides,4330,98.4,72.7,0.0,"['LSM Launch', 'LSM Boost']",,,,,,,,,,,,
12,Iron Rattler,Six Flags Fiesta Texas,"San Antonio, Texas",Rocky Mountain,2013,2021,Steel,Sit Down,Operating,5/25/2013,San Antonio,Texas,United States,Rocky Mountain Construction,3266,179.0,70.0,1.0,"['Chain Lift Hill', 'Over-Banked Curve', 'Over-Banked Curve', 'Zero-G Roll', 'Over-Banked Curve', 'Over-Banked Curve', 'Tunnel']",171.0,,,81.0,,,,,,,,
13,Intimidator 305,Kings Dominion,"Doswell, Virginia",Intamin,2010,2021,Steel,Sit Down,Operating,4/2/2010,Doswell,Virginia,United States,Intamin Amusement Rides,5100,305.0,90.0,0.0,['Cable Lift Hill'],300.0,3:00,,85.0,,,,,,,,
14,Nitro,Six Flags Great Adventure,"Jackson, New Jersey",B&M,2001,2021,Steel,Sit Down,Operating,4/7/2001,Jackson,New Jersey,United States,Bolliger & Mabillard,5394,230.0,80.0,0.0,"['Chain Lift Hill', 'Block Brake']",215.0,2:20,,,,,,,,,,
16,Twisted Colossus,Six Flags Magic Mountain,"Valencia, California",Rocky Mountain,2015,2021,Steel,Sit Down,Operating,5/23/2015,Valencia,California,United States,Rocky Mountain Construction,4990,121.0,57.0,2.0,"['Chain Lift Hill', 'High Five', 'Zero-G Roll', 'Chain Lift Hill', 'High Five', 'Top Gun Stall']",128.0,3:40,,80.0,,,,,,,,
17,Mako,SeaWorld Orlando,"Orlando, Florida",B&M,2016,2021,Steel,Sit Down,Operating,6/10/2016,Orlando,Florida,United States,Bolliger & Mabillard,4760,200.0,73.0,0.0,"['Chain Lift Hill', 'Block Brake']",200.0,,,,,,,,,,,
19,Diamondback,Kings Island,"Mason, Ohio",B&M,2009,2021,Steel,Sit Down,Operating,4/18/2009,Mason,Ohio,United States,Bolliger & Mabillard,5282,230.0,80.0,0.0,"['Chain Lift Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Splash Effect']",215.0,3:00,,74.0,,,,,,,,
