Name,Park,Type,Design,Status,City,Region,Country,Make,Length (ft),Height (ft),Speed (mph),Inversions,Elements,Drop (ft),Rank
Time Twister,Jolly Roger Amusement Park,Steel,Sit Down,Relocated,Ocean City,Maryland,United States,Vekoma,2398,75.0,40.0,2.0,"['Chain Lift Hill', 'Double Corkscrew']",68.0,No
Time Warp,Canada's Wonderland,Steel,Flying,Operating,Vaughan,Ontario,Canada,Zamperla,1282,50.0,25.7,2.0,"['Spiral Lift', 'Heartline Roll', 'Heartline Roll']",,No
Titán,Selva Mágica,Steel,Sit Down,Operating,Guadalajara,Jalisco,Mexico,Sansei Technologies,2500,75.0,55.0,0.0,,,No
Titan,Six Flags Over Texas,Steel,Sit Down,Operating,Arlington,Texas,United States,Giovanola,5312,245.0,85.0,0.0,"['Chain Lift Hill', 'Tunnel']",255.0,Yes
Titan,World Expo Park,Steel,Sit Down,Relocated,Brisbane,Queensland,Australia,Vekoma,935,116.5,47.0,3.0,"['Catch Car Lift Hill', 'Cobra Roll', 'Loop', 'Chain Lift Hill']",,No
Titánide,Terra Mítica,Steel,Inverted,Operating,Alicante,Valencian Community,Spain,Vekoma,2260,109.3,49.7,5.0,"['Chain Lift Hill', 'Roll Over', 'Sidewinder', 'Double In-Line Twist']",,No
Titan MAX,Space World,Steel,Sit Down,Removed,Kitakyushu,Fukuoka,Japan,Arrow Dynamics,4998,185.0,71.5,0.0,"['Chain Lift Hill', 'Block Brake']",178.0,No
Tivoli Coaster,Toy Kingdom,Steel,Sit Down,Operating,Tamano,Okayama,Japan,Zierer,652,19.7,19.9,0.0,['Booster Wheel Lift Hill'],,No
Tivoli Plunge,Tivoli Pier,Steel,Sit Down,Removed,Atlantic City,New Jersey,United States,Zierer,472,37.7,40.0,0.0,,,No
Tivoli Railroad,Kurashiki Tivoli Park,Steel,Sit Down,Relocated,Kurashiki,Okayama,Japan,Sansei Technologies,0,26.4,9.9,0.0,['Booster Wheel Lift Hill'],,No
TMNT Shellraiser,Nickelodeon Universe Theme Park,Steel,Sit Down,Operating,East Rutherford,New Jersey,United States,Gerstlauer Amusement Rides GmbH,3280,141.0,62.1,7.0,"['Heartline Roll', 'LSM Launch (rolling)', 'Corkscrew', 'Banana Roll', 'Corkscrew', 'Vertical Chain Lift Hill', 'Dive Loop', 'Top Hat - Inside', 'Immelmann']",,No
TNT Train,Safari Park,Steel,Sit Down,Operating,Pombia,Piedmont,Italy,Technical Park,885,42.7,31.1,0.0,['Chain Lift Hill'],,No
TNT Tren de la Mina,Parque de Atracciones de Madrid,Steel,Sit Down,Operating,Madrid,Community of Madrid,Spain,Gerstlauer Amusement Rides GmbH,1476,55.8,35.0,0.0,['Chain Lift Hill'],,No
Tobiachterbahn,Tobiland,Steel,Sit Down,Relocated,Köln,North Rhine-Westphalia,Germany,I.E. Park,196,11.5,15.5,0.0,,,No
Toboggan Nordique,La Ronde,Steel,Sit Down,Operating,Montréal,Québec,Canada,Zamperla,885,41.0,11.2,0.0,['Chain Lift Hill'],,No
Tokaido,Luneur Park,Steel,Sit Down,Removed,Rome,Lazio,Italy,Pinfari,639,23.0,24.9,0.0,,,No
Tokaido,EuroPark Milano Idroscalo,Steel,Sit Down,Removed,Segrate,Lombardy,Italy,Pinfari,639,23.0,24.9,0.0,,,No
Tokaido,Atlantika,Steel,Sit Down,Removed,Vásárosnamény,Szabolcs-Szatmár-Bereg,Hungary,Pinfari,639,23.0,24.9,0.0,,,No
Tokaydo,Shahr-e Bazi,Steel,Sit Down,Removed,Tehran,Tehran,Iran,Vafaei Rides,787,16.4,24.9,0.0,,,No
Tokaydo Express,Blackpool Pleasure Beach,Steel,Sit Down,Relocated,Lancashire,England,United Kingdom,Pinfari,639,23.0,24.9,0.0,,,No
Tomahawk,PortAventura Park,Wood,Sit Down,Operating,Tarragona,Catalonia,Spain,"Custom Coasters International, Inc.",1444,44.0,30.0,0.0,['Chain Lift Hill'],,No
Tom and Jerry Swiss Cheese Spin,Warner Bros. World Abu Dhabi,Steel,Sit Down,Operating,Abu Dhabi,Abu Dhabi,United Arab Emirates,Zamperla,1512,58.3,30.4,0.0,,,No
Tom y Jerry,Parque Warner Madrid,Steel,Sit Down,Operating,Madrid,Community of Madrid,Spain,Zierer,1181,26.3,22.4,0.0,['Booster Wheel Lift Hill'],,No
Tonnerre 2 Zeus,Parc Astérix,Wood,Sit Down,Operating,Plailly,Hauts-de-France,France,"Custom Coasters International, Inc.",4044,98.0,52.0,0.0,"['Chain Lift Hill', 'Tunnel', 'Tunnel', 'Helix']",,No
Tony's Express,Luna Park,Steel,Sit Down,Operating,Brooklyn,New York,United States,Zamperla,1312,49.9,26.1,0.0,['Booster Wheel Lift Hill'],,No
Toos-Express,Toverland,Steel,Sit Down,Operating,Sevenum,Limburg,Netherlands,Vekoma,1049,39.3,37.3,0.0,['Booster Wheel Lift Hill'],,No
Top Thrill 2,Cedar Point,Steel,Sit Down,SBNO,Sandusky,Ohio,United States,Intamin Amusement Rides,2800,420.0,120.0,0.0,"['LSM Launch (multi-pass)', 'Vertical Spiral', 'Top Hat - Outside', 'Vertical Spiral']",400.0,No
Tornado,Adventureland,Wood,Sit Down,Operating,Altoona,Iowa,United States,,2840,93.0,58.0,0.0,['Chain Lift Hill'],,No
Tornado,Bosque Mágico,Steel,Sit Down,Removed,Guadalupe,Nuevo León,Mexico,Vekoma,1148,64.0,37.3,2.0,"['Chain Lift Hill', 'Corkscrew', 'Corkscrew']",,No
Tornado,Walibi Belgium,Steel,Sit Down,Removed,Walloon Brabant,Wallonia,Belgium,Vekoma,2398,75.0,40.0,2.0,"['Chain Lift Hill', 'Double Corkscrew']",68.0,No
Tornado,M&Ds Scotland's Theme Park,Steel,Sit Down,Relocated,North Lanarkshire,Scotland,United Kingdom,Pinfari,0,78.8,44.7,2.0,"['Chain Lift Hill', 'Loop', 'Loop']",,No
Tornado,Särkänniemi Amusement Park,Steel,Inverted,Operating,Tampere,Pirkanmaa,Finland,Intamin Amusement Rides,2296,82.0,46.6,5.0,"['Chain Lift Hill', 'Loop', 'Tunnel', 'Cobra Roll', 'Heartline Roll', 'Tunnel', 'Heartline Roll']",,No
Tornado,Parque de Atracciones de Madrid,Steel,Inverted,Operating,Madrid,Community of Madrid,Spain,Intamin Amusement Rides,2624,98.0,49.7,3.0,"['Loop', 'Loop', 'Corkscrew']",,No
Tornado,Tokyo SummerLand,Steel,Sit Down,Removed,Akiruno,Tokyo,Japan,Vekoma,1509,72.2,43.5,2.0,"['Chain Lift Hill', 'Loop', 'Corkscrew']",65.6,No
Tornado,Sommerland Syd,Steel,Inverted,Relocated,Tinglev,Syddanmark,Denmark,Vekoma,1013,131.2,50.0,3.0,"['Chain Lift Hill', 'Cobra Roll', 'Loop', 'Chain Lift Hill']",,No
Tornado,Bakken,Steel,Sit Down,Operating,Klampenborg,Hovedstaden,Denmark,Intamin Amusement Rides,1122,39.4,31.7,0.0,['Chain Lift Hill'],,No
Totsugeki! Paddington Expedition,Sagamiko Resort Pleasure Forest,Steel,Sit Down,Operating,Sagamiko,Kanagawa,Japan,"Hoei Sangyo Co., Ltd.",393,12.5,14.3,0.0,['Chain Lift Hill'],,No
Toutatis,Parc Astérix,Steel,Sit Down,Operating,Plailly,Hauts-de-France,France,Intamin Amusement Rides,3526,167.3,66.5,3.0,"['LSM Launch (rolling)', 'Zero-G Stall', 'LSM Boost (multi-pass)', 'Top Hat - Outside', 'Vertical Rollback', 'Zero-G Stall', 'Barrel Roll']",,No
Tower of Terror,Camelot Theme Park,Steel,Sit Down,Relocated,Lancashire,England,United Kingdom,Schwarzkopf,1817,60.0,41.0,1.0,['Loop'],,No
Tower of Terror,Gold Reef City,Steel,Sit Down,Operating,Johannesburg,Gauteng,South Africa,,0,111.6,59.0,0.0,['Elevator Lift'],164.1,No
Tower of Terror II,Dreamworld,Steel,Sit Down,Removed,Coomera,Queensland,Australia,Intamin Amusement Rides,1235,377.3,100.0,0.0,['LSM Launch'],328.1,No
