Rank,Name,Park,Location,Supplier,Year,Awarded
47,El Toro,Freizeitpark Plohn,"Lengenfeld, Germany",Great Coasters Int.,,2019
48,Twister,Gröna Lund,"Stockholm, Sweden",The Gravity Group,,2019
49,Switchback,ZDTs,"Seguin, Texas",The Gravity Group,,2019
50,Grizzly,Kings Dominion,"Doswell, Va.",Taft,,2019
1,Phoenix,Knoebels Amusement Resort,"Elysburg, Pa.",PTC/Schmeck-Dinn,1985,2018
2,El Toro,Six Flags Great Adventure,"Jackson, N.J.",Intamin,2006,2018
3,Voyage,Holiday World,"Santa Claus, Ind.",Gravity Group,2006,2018
4,BoulderDash,Lake Compounce,"Bristol, Conn.",Custom Coasters,2000,2018
5,Beast,Kings Island,"Mason, Ohio",KECO,1979,2018
6,Lightning Rod,Dollywood,"Pigeon Forge, Tenn.",Rocky Mountain,2016,2018
7,Outlaw Run,Silver Dollar City,"Branson, Mo.",Rocky Mountain,2013,2018
8,Ravine Flyer II,Waldameer,"Erie, Pa.",Gravity Group,2008,2018
9,Gold Striker,Califoria’s Great America,"Santa Clara, Calif.",Great Coasters Int.,2013,2018
10,Thunderhead,Dollywood,"Pigeon Forge, Tenn.",Great Coasters Int.,2004,2018
11,Mystic Timbers,Kings Island,"Mason, Ohio",Great Coasters Int.,2017,2018
12,Lightning Racer,Hersheypark,"Hershey, Pa.",Great Coasters Int.,2000,2018
13,GhostRider,Knott’s Berry Farm,"Buena Park, Calif.",Custom Coasters,1998,2018
14,Balder,Liseberg,"Gothenburg, Sweden",Intamin,2003,2018
15,Thunderbolt,Kennywood,"West Mifflin, Pa.",Vettel/Miller,1968,2018
16,Wodan,Europa-Park,"Rust, Germany",Great Coasters Int.,2012,2018
17,Wildfire,Kolmården,"Norrköping, Sweden",Rocky Mountain,2016,2018
18,Raven,Holiday World,"Santa Claus, Ind.",Custom Coasters,1995,2018
19,Goliath,Six Flags Great America,"Gurnee, Ill.",Rocky Mountain,2014,2018
20,Jack Rabbit,Kennywood,"West Mifflin, Pa.",Miller,1920,2018
21 – tie,Giant Dipper,Santa Cruz Beach Boardwalk,"Santa Cruz, Calif.",Prior & Church/Looff,1924,2018
21 – tie,Shivering Timbers,Michigan’s Adventure,"Muskegon, Mich.",Custom Coasters,1998,2018
23,Legend,Holiday World,"Santa Claus, Ind.",Custom Coasters,2000,2018
24,White Lightning,Fun Spot,"Orlando, Fla.",Great Coasters Int.,2013,2018
25,Troy,Toverland,"Sevenum, Netherlands",Great Coasters Int.,2007,2018
26,Renegade,Valleyfair,"Shakopee, Minn.",Great Coasters Int.,2007,2018
27,Cú Chulainn,Tayto Park,"Ashbourne, Ireland",Gravity Group,2015,2018
28,Colossos,Heide Park,"Soltau, Germany",Intamin,2001,2018
29,Cyclone,Luna Park/Coney Island,"Brooklyn, N.Y.",Keenan/Baker,1927,2018
30 – tie,Prowler,Worlds of Fun,"Kansas City, Mo.",Great Coasters Int.,2009,2018
30 – tie,Rampage,Alabama Splash Adventure,"Bessemer, Ala.",Custom Coasters,1998,2018
