Rank,Name,Park,Location,Supplier,Year,Awarded,Type,Design,Status,Opened,City,Region,Country,Make,Length (ft),Height (ft),Speed (mph),Inversions,Elements,Drop (ft),Duration,G-Force,Vertical Angle (°),Uphill Length (ft),Downhill Length (ft),Δ Elevation (ft),Airtime Points,Crossings,Bank Angle (°),Drop,Designer
23,Raven,Holiday World,"Santa Claus, Ind.",Custom Coasters,1995,2017,Wood,Sit Down,Operating,5/6/1995,Santa Claus,Indiana,United States,"Custom Coasters International, Inc.","2,800.00",80.00,48.00,0.00,['Chain Lift Hill'],85.00,1:30,,,,,,,,,,
24,Legend,Holiday World,"Santa Claus, Ind.",Custom Coasters,2000,2017,Wood,Sit Down,Operating,5/6/2000,Santa Claus,Indiana,United States,"Custom Coasters International, Inc.","4,042.00",99.00,59.00,0.00,"['Chain Lift Hill', 'Hill', 'Hill', 'Tunnel', 'Tunnel', 'Tunnel', 'Helix', 'Double Down', 'Tunnel']",113.00,2:00,,,,,,,,,,
26,Jack Rabbit,Kennywood,"West Mifflin, Pa.",PTC/Miller,1920,2017,Wood,Sit Down,Operating,1920,West Mifflin,Pennsylvania,United States,,"2,132.00",40.00,45.00,0.00,"['Chain Lift Hill', 'Double Dip']",70.00,1:36,,45,,,,,,,,
27,Prowler,Worlds of Fun,"Kansas City, Mo.",Great Coasters Int.,2009,2017,Wood,Sit Down,Operating,5/2/2009,Kansas City,Missouri,United States,Great Coasters International,"3,074.00",102.30,51.20,0.00,['Chain Lift Hill'],84.90,2:30,,,,,,,,,,
28,Boss,Six Flags St. Louis,"Eureka, Mo.",Custom Coasters,2000,2017,Wood,Sit Down,Operating,4/29/2000,Eureka,Missouri,United States,"Custom Coasters International, Inc.","4,631.00",122.00,66.30,0.00,['Chain Lift Hill'],150.00,,,52,,,,,,,,
29,Wildfire,Kolmården,"Norrköping, Sweden",Rocky Mountain,2016,2017,Wood,Sit Down,Operating,6/28/2016,Norrköping,Östergötland,Sweden,Rocky Mountain Construction,"4,150.30",183.80,71.50,3.00,"['Chain Lift Hill', 'Zero-G Stall', 'Heartline Roll', 'Heartline Roll']",160.80,2:00,4,83,,,,,,,,
31,Giant Dipper,Santa Cruz Beach Boardwalk,"Santa Cruz, Calif.",Prior & Church/Looff,1924,2017,Wood,Sit Down,Operating,5/17/1924,Santa Cruz,California,United States,,"2,640.00",70.00,55.00,0.00,,65.00,1:52,,,,,,,,,,
35,Twister,Knoebels Amusement Resort,"Elysburg, Pa.",Fetterman/Knoebels,1999,2017,Wood,Sit Down,Operating,7/24/1999,Elysburg,Pennsylvania,United States,,"3,900.00",101.60,51.50,0.00,"['Chain Lift Hill', 'Chain Lift Hill']",89.60,2:10,,,,,,,,,,
36,Wild Mouse,Blackpool Pleasure Beach,"Blackpool, England","Wright, Blackpool",1958,2017,Wood,Sit Down,Removed,1958,Lancashire,England,United Kingdom,,"1,266.00",,,0.00,,,1:30,,,,,,,,,,
40,American Thunder,Six Flags St. Louis,"Eureka, Mo.",Great Coasters Int.,2009,2017,Wood,Sit Down,Operating,6/20/2008,Eureka,Missouri,United States,Great Coasters International,"2,713.00",82.00,48.00,0.00,['Chain Lift Hill'],80.00,,,,,,,,,,,
42,Blue Streak,Cedar Point,"Sandusky, Ohio",PTC/Hoover,1964,2017,Wood,Sit Down,Operating,5/23/1964,Sandusky,Ohio,United States,"Philadelphia Toboggan Coasters, Inc.","2,558.00",78.00,40.00,0.00,['Chain Lift Hill'],72.00,1:45,,45,,,,,,,,
44,Flying Turns,Knoebels Amusement Resort,"Elysburg, Pa.",Knoebels,2013,2017,Wood,Bobsled,Operating,10/5/2013,Elysburg,Pennsylvania,United States,,"1,300.00",50.00,24.00,0.00,"['Chain Lift Hill', 'Chain Lift Hill', 'Chain Lift Hill', 'Chain Lift Hill']",,,,,,,,,,,,
45,Wooden Warrior,Quassy Amusement Park,"Middlebury, Conn.",Gravity Group,2011,2017,Wood,Sit Down,Operating,4/23/2011,Middlebury,Connecticut,United States,,"1,239.00",32.00,35.00,0.00,"['Chain Lift Hill', 'Tunnel']",36.00,,,48.5,,,45,9,,51,,
48,Grand National,Blackpool Pleasure Beach,"Blackpool, England",Paige,1935,2017,Wood,Sit Down,Operating,1935,Lancashire,England,United Kingdom,,"3,302.00",62.00,40.00,0.00,,,2:20,,,,,,,,,,
49,Kentucky Rumbler,Beech Bend,"Bowling Green, Ky.",Great Coasters Int.,2006,2017,Wood,Sit Down,Operating,5/6/2006,Bowling Green,Kentucky,United States,Great Coasters International,"2,827.00",96.00,47.30,0.00,['Chain Lift Hill'],80.20,,,,,,,,,,,
50,Twister,Gröna Lund,"Stockholm, Sweden",Gravity Group,2011,2017,Wood,Sit Down,Operating,5/7/2011,Stockholm,Stockholm,Sweden,Gravitykraft Corporation,"1,544.00",51.00,38.00,0.00,['Chain Lift Hill'],46.00,,3,56,,,,,,,,
1,Boulder Dash,Lake Compounce,"Bristol, Conn.",Custom Coasters,2000,2016,Wood,Sit Down,Operating,5/21/2000,Bristol,Connecticut,United States,"Custom Coasters International, Inc.","4,725.00",,60.00,0.00,,115.00,2:30,,,,,,,,,,
2,Phoenix,Knoebels Amusement Resort,"Elysburg, Pa.",DinnPTC/Schmeck,1985,2016,Wood,Sit Down,Operating,6/15/1985,Elysburg,Pennsylvania,United States,"Philadelphia Toboggan Coasters, Inc.","3,200.00",78.00,45.00,0.00,"['Tunnel', 'Chain Lift Hill']",72.00,2:00,,,,,,,,,,
3,El Toro,Six Flags Great Adventure,"Jackson, N.J.",Intamin,2006,2016,Wood,Sit Down,Operating,6/12/2006,Jackson,New Jersey,United States,Intamin Amusement Rides,"4,400.00",181.00,70.00,0.00,"['Cable Lift Hill', 'Hill', 'Hill', 'Hill']",176.00,1:42,,76,,,,,,,,
5,Ravine Flyer II,Waldameer,"Erie, Pa.",Gravity Group,2008,2016,Wood,Sit Down,Operating,5/17/2008,Erie,Pennsylvania,United States,,"2,900.00",80.00,57.00,0.00,['Chain Lift Hill'],118.00,1:30,,60,,,,,,,,
7,Thunderhead,Dollywood,"Pigeon Forge, Tenn.",Great Coasters Int.,2004,2016,Wood,Sit Down,Operating,4/3/2004,Pigeon Forge,Tennessee,United States,Great Coasters International,"3,230.00",100.40,53.70,0.00,['Chain Lift Hill'],100.00,,,,,,,,,,,
8,Outlaw Run,Silver Dollar City,"Branson, Mo.",Rocky Mountain,2013,2016,Wood,Sit Down,Operating,3/15/2013,Branson,Missouri,United States,Rocky Mountain Construction,"2,937.00",107.00,68.00,3.00,"['Chain Lift Hill', 'Over-Banked Inversion', 'Double Heartline Roll']",162.00,1:27,,81,,,,,,,,
11,Lightning Rod,Dollywood,"Pigeon Forge, Tenn.",Rocky Mountain,2016,2016,Steel,Sit Down,Operating,6/13/2016,Pigeon Forge,Tennessee,United States,Rocky Mountain Construction,"3,800.00",,73.00,0.00,['Chain Lift Hill'],165.00,,3.5,73,,,,,,,,
12,Balder,Liseberg,"Gothenburg, Sweden",Intamin,2003,2016,Wood,Sit Down,Operating,4/12/2003,Gothenburg,Västra Götaland,Sweden,Intamin Amusement Rides,"3,510.50",118.10,55.90,0.00,"['Chain Lift Hill', 'Tunnel', 'Tunnel']",,2:08,,70,,,,,,,,
13,Goliath,Six Flags Great America,"Gurnee, Ill.",Rocky Mountain,2014,2016,Wood,Sit Down,Operating,6/19/2014,Gurnee,Illinois,United States,Rocky Mountain Construction,"3,100.00",165.00,72.00,2.00,"['Chain Lift Hill', 'Tunnel', 'Over-Banked Curve', 'Dive Loop', 'Zero-G Stall', 'Tunnel']",180.00,,,85,,,,,,,,
14,Prowler,Worlds of Fun,"Kansas City, Mo.",Great Coasters Int.,2009,2016,Wood,Sit Down,Operating,5/2/2009,Kansas City,Missouri,United States,Great Coasters International,"3,074.00",102.30,51.20,0.00,['Chain Lift Hill'],84.90,2:30,,,,,,,,,,
17,Giant Dipper,Santa Cruz Beach Boardwalk,"Santa Cruz, Calif.",Prior & Church/Looff,1924,2016,Wood,Sit Down,Operating,5/17/1924,Santa Cruz,California,United States,,"2,640.00",70.00,55.00,0.00,,65.00,1:52,,,,,,,,,,
20,Jack Rabbit,Kennywood,"West Mifflin, Pa.",PTC/Miller,1920,2016,Wood,Sit Down,Operating,1920,West Mifflin,Pennsylvania,United States,,"2,132.00",40.00,45.00,0.00,"['Chain Lift Hill', 'Double Dip']",70.00,1:36,,45,,,,,,,,
21,Thunderbolt,Kennywood,"West Mifflin, Pa.",Vettel/Miller,1968,2016,Wood,Sit Down,Operating,5/4/1924,West Mifflin,Pennsylvania,United States,,"3,250.00",70.00,55.00,0.00,['Chain Lift Hill'],90.00,1:41,,,,,,,,,,
24,Troy,Toverland,"Sevenum, Netherlands",Great Coasters Int.,2007,2016,Wood,Sit Down,Operating,6/29/2007,Sevenum,Limburg,Netherlands,Great Coasters International,"3,534.00",104.50,54.00,0.00,['Chain Lift Hill'],100.70,1:50,2.4,,,,,,,,,
27,Cyclone,Luna Park,"Brooklyn, N.Y.",Keenan/Baker,1927,2016,Wood,Sit Down,Operating,6/26/1927,Brooklyn,New York,United States,,"2,850.30",75.00,60.00,0.00,,,1:50,,58.6,,,,,,,,
28,Wildfire,Kolmården,"Norrköping, Sweden",Rocky Mountain,2016,2016,Wood,Sit Down,Operating,6/28/2016,Norrköping,Östergötland,Sweden,Rocky Mountain Construction,"4,150.30",183.80,71.50,3.00,"['Chain Lift Hill', 'Zero-G Stall', 'Heartline Roll', 'Heartline Roll']",160.80,2:00,4,83,,,,,,,,
32,Wild Mouse,Blackpool Pleasure Beach,"Blackpool, England","Wright, Blackpool",1958,2016,Wood,Sit Down,Removed,1958,Lancashire,England,United Kingdom,,"1,266.00",,,0.00,,,1:30,,,,,,,,,,
33,American Thunder,Six Flags St. Louis,"Eureka, Mo.",Great Coasters Int.,2009,2016,Wood,Sit Down,Operating,6/20/2008,Eureka,Missouri,United States,Great Coasters International,"2,713.00",82.00,48.00,0.00,['Chain Lift Hill'],80.00,,,,,,,,,,,
34,White Lightning,Fun Spot America,"Orlando, Fla.",Great Coasters Int.,2013,2016,Wood,Sit Down,Operating,13-May,Orlando,Florida,United States,Great Coasters International,"2,032.00",69.70,44.30,0.00,['Chain Lift Hill'],67.20,1:15,,,,,,,,,,
38,Blue Streak,Conneaut Lake Park,"Conneaut Lake, Pa.",Vettel,1938,2016,Wood,Sit Down,Removed,7/4/1938,Conneaut Lake,Pennsylvania,United States,,"2,900.00",78.00,,0.00,"['Tunnel', 'Chain Lift Hill']",,2:20,,,,,,,,,,
41,Flying Turns,Knoebels Amusement Resort,"Elysburg, Pa.",Knoebels,2013,2016,Wood,Bobsled,Operating,10/5/2013,Elysburg,Pennsylvania,United States,,"1,300.00",50.00,24.00,0.00,"['Chain Lift Hill', 'Chain Lift Hill', 'Chain Lift Hill', 'Chain Lift Hill']",,,,,,,,,,,,
42,Blue Streak,Cedar Point,"Sandusky, Ohio",PTC/Hoover,1964,2016,Wood,Sit Down,Operating,5/23/1964,Sandusky,Ohio,United States,"Philadelphia Toboggan Coasters, Inc.","2,558.00",78.00,40.00,0.00,['Chain Lift Hill'],72.00,1:45,,45,,,,,,,,
43,Racer,Kennywood,"West Mifflin, Pa.",PTC/Miller,1927,2016,Wood,Sit Down,Operating,1927,West Mifflin,Pennsylvania,United States,,"4,500.00",72.50,40.00,0.00,"['Chain Lift Hill', 'Chain Lift Hill']",50.00,1:32,,,,,,,,,,
43,Racer,Kennywood,"West Mifflin, Pa.",PTC/Miller,1927,2016,Wood,Sit Down,Removed,1910,West Mifflin,Pennsylvania,United States,,,,,0.00,,,,,,,,,,,,,
44,T Express,Everland,"Yonginsi, South Korea",Intamin,2008,2016,Wood,Sit Down,Operating,3/14/2008,Yongin-si,Gyeonggi-do,South Korea,Intamin Amusement Rides,"5,383.80",183.80,64.60,0.00,['Cable Lift Hill'],150.90,,,77,,,,,,,,
45,Twister,Gröna Lund,"Stockholm, Sweden",Gravity Group,2011,2016,Wood,Sit Down,Operating,5/7/2011,Stockholm,Stockholm,Sweden,Gravitykraft Corporation,"1,544.00",51.00,38.00,0.00,['Chain Lift Hill'],46.00,,3,56,,,,,,,,
46,Wooden Warrior,Quassy Amusement Park,"Middlebury, Conn.",Gravity Group,2011,2016,Wood,Sit Down,Operating,4/23/2011,Middlebury,Connecticut,United States,,"1,239.00",32.00,35.00,0.00,"['Chain Lift Hill', 'Tunnel']",36.00,,,48.5,,,45,9,,51,,
47,Twister,Knoebels Amusement Resort,"Elysburg, Pa.",Fetterman/Knoebels,1999,2016,Wood,Sit Down,Operating,7/24/1999,Elysburg,Pennsylvania,United States,,"3,900.00",101.60,51.50,0.00,"['Chain Lift Hill', 'Chain Lift Hill']",89.60,2:10,,,,,,,,,,
48,Kentucky Rumbler,Beech Bend,"Bowling Green, Ky.",Great Coasters Int.,2006,2016,Wood,Sit Down,Operating,5/6/2006,Bowling Green,Kentucky,United States,Great Coasters International,"2,827.00",96.00,47.30,0.00,['Chain Lift Hill'],80.20,,,,,,,,,,,
49,Wood Coaster,Knight Valley,"Shenzhen, China",Great Coasters Int.,2011,2016,Wood,Sit Down,Operating,7/19/2011,Shenzhen,Guangdong,China,Great Coasters International,"4,817.00",,,0.00,,,,,,,,,,,,,
50,Boardwalk Bullet,Kemah Boardwalk,"Kemah, Texas",M&V/The Gravity Group,2007,2016,Wood,Sit Down,Operating,8/31/2007,Kemah,Texas,United States,Martin & Vleminckx,"3,236.00",96.00,51.00,0.00,,92.00,,,56,,,,,,,,
1,Boulder Dash,Lake Compounce,"Bristol, Conn.",Custom Coasters,2000,2015,Wood,Sit Down,Operating,5/21/2000,Bristol,Connecticut,United States,"Custom Coasters International, Inc.","4,725.00",,60.00,0.00,,115.00,2:30,,,,,,,,,,
2,El Toro,Six Flags Great Adventure,"Jackson,N.J.",Intamin,2006,2015,Wood,Sit Down,Operating,6/12/2006,Jackson,New Jersey,United States,Intamin Amusement Rides,"4,400.00",181.00,70.00,0.00,"['Cable Lift Hill', 'Hill', 'Hill', 'Hill']",176.00,1:42,,76,,,,,,,,
3,Phoenix,Knoebels Amusement Resort,"Elysburg, Pa.",Dinn – PTC/Schmeck,1985,2015,Wood,Sit Down,Operating,6/15/1985,Elysburg,Pennsylvania,United States,"Philadelphia Toboggan Coasters, Inc.","3,200.00",78.00,45.00,0.00,"['Tunnel', 'Chain Lift Hill']",72.00,2:00,,,,,,,,,,
5,Thunderhead,Dollywood,"Pigeon Forge, Tenn.",Great Coasters Int.,2004,2015,Wood,Sit Down,Operating,4/3/2004,Pigeon Forge,Tennessee,United States,Great Coasters International,"3,230.00",100.40,53.70,0.00,['Chain Lift Hill'],100.00,,,,,,,,,,,
7,Ravine Flyer II,Waldameer,"Erie, Pa.",Gravity Group,2008,2015,Wood,Sit Down,Operating,5/17/2008,Erie,Pennsylvania,United States,,"2,900.00",80.00,57.00,0.00,['Chain Lift Hill'],118.00,1:30,,60,,,,,,,,
8,Outlaw Run,Silver Dollar City,"Branson, Mo.",Rocky Mountain,2013,2015,Wood,Sit Down,Operating,3/15/2013,Branson,Missouri,United States,Rocky Mountain Construction,"2,937.00",107.00,68.00,3.00,"['Chain Lift Hill', 'Over-Banked Inversion', 'Double Heartline Roll']",162.00,1:27,,81,,,,,,,,
11,Balder,Liseberg,"Gothenburg, Sweden",Intamin,2003,2015,Wood,Sit Down,Operating,4/12/2003,Gothenburg,Västra Götaland,Sweden,Intamin Amusement Rides,"3,510.50",118.10,55.90,0.00,"['Chain Lift Hill', 'Tunnel', 'Tunnel']",,2:08,,70,,,,,,,,
13,Giant Dipper,Santa Cruz Beach Boardwalk,"Santa Cruz, Calif.",Prior & Church/Looff,1924,2015,Wood,Sit Down,Operating,5/17/1924,Santa Cruz,California,United States,,"2,640.00",70.00,55.00,0.00,,65.00,1:52,,,,,,,,,,
14,Goliath,Six Flags Great America,"Gurnee, Ill.",Rocky Mountain,2014,2015,Wood,Sit Down,Operating,6/19/2014,Gurnee,Illinois,United States,Rocky Mountain Construction,"3,100.00",165.00,72.00,2.00,"['Chain Lift Hill', 'Tunnel', 'Over-Banked Curve', 'Dive Loop', 'Zero-G Stall', 'Tunnel']",180.00,,,85,,,,,,,,
15,Thunderbolt,Kennywood,"West Mifflin, Pa",Vettel/Miller,1927,2015,Wood,Sit Down,Operating,5/4/1924,West Mifflin,Pennsylvania,United States,,"3,250.00",70.00,55.00,0.00,['Chain Lift Hill'],90.00,1:41,,,,,,,,,,
17,Prowler,Worlds of Fun,"Kansas City, Mo.",Great Coasters Int.,2009,2015,Wood,Sit Down,Operating,5/2/2009,Kansas City,Missouri,United States,Great Coasters International,"3,074.00",102.30,51.20,0.00,['Chain Lift Hill'],84.90,2:30,,,,,,,,,,
18,Troy,Toverland,"Sevenum, the Netherlands",Great Coasters Int.,2007,2015,Wood,Sit Down,Operating,6/29/2007,Sevenum,Limburg,Netherlands,Great Coasters International,"3,534.00",104.50,54.00,0.00,['Chain Lift Hill'],100.70,1:50,2.4,,,,,,,,,
21,Flying Turns,Knoebels Amusement Resort,"Elysburg, Pa.",Knoebels,2013,2015,Wood,Bobsled,Operating,10/5/2013,Elysburg,Pennsylvania,United States,,"1,300.00",50.00,24.00,0.00,"['Chain Lift Hill', 'Chain Lift Hill', 'Chain Lift Hill', 'Chain Lift Hill']",,,,,,,,,,,,
21,Jack Rabbit,Kennywood,"West Mifflin, Pa.",PTC/Miller,1920,2015,Wood,Sit Down,Operating,1920,West Mifflin,Pennsylvania,United States,,"2,132.00",40.00,45.00,0.00,"['Chain Lift Hill', 'Double Dip']",70.00,1:36,,45,,,,,,,,
26,Wild Mouse,Blackpool Pleasure Beach,"Blackpool, England","Wright, Blackpool",1958,2015,Wood,Sit Down,Removed,1958,Lancashire,England,United Kingdom,,"1,266.00",,,0.00,,,1:30,,,,,,,,,,
33,Kentucky Rumbler,Beech Bend,"Bowling Green, Ky.",Great Coasters Int.,2006,2015,Wood,Sit Down,Operating,5/6/2006,Bowling Green,Kentucky,United States,Great Coasters International,"2,827.00",96.00,47.30,0.00,['Chain Lift Hill'],80.20,,,,,,,,,,,
34,Grand National,Blackpool Pleasure Beach,"Blackpool, England",Paige,1935,2015,Wood,Sit Down,Operating,1935,Lancashire,England,United Kingdom,,"3,302.00",62.00,40.00,0.00,,,2:20,,,,,,,,,,
35,Blue Streak,Cedar Point,"Sandusky, Ohio",PTC/Hoover,1964,2015,Wood,Sit Down,Operating,5/23/1964,Sandusky,Ohio,United States,"Philadelphia Toboggan Coasters, Inc.","2,558.00",78.00,40.00,0.00,['Chain Lift Hill'],72.00,1:45,,45,,,,,,,,
35,Blue Streak,Conneaut Lake Park,"Conneaut Lake, Pa.",Vettel,1938,2015,Wood,Sit Down,Removed,7/4/1938,Conneaut Lake,Pennsylvania,United States,,"2,900.00",78.00,,0.00,"['Tunnel', 'Chain Lift Hill']",,2:20,,,,,,,,,,
37,El Toro,Freizeitpark Plohn,"Lengenfeld, Germany",Great Coasters Int.,2009,2015,Wood,Sit Down,Operating,4/10/2009,Lengenfeld,Saxony,Germany,Great Coasters International,"2,379.00",80.50,45.60,0.00,"['Tunnel', 'Tunnel']",70.70,,,,,,,,,,,
38,Wooden Warrior,Quassy Amusement Park,"Middlebury, Conn.",Gravity Group,2011,2015,Wood,Sit Down,Operating,4/23/2011,Middlebury,Connecticut,United States,,"1,239.00",32.00,35.00,0.00,"['Chain Lift Hill', 'Tunnel']",36.00,,,48.5,,,45,9,,51,,
39,American Thunder,Six Flags St. Louis,"Eureka, Mo.",Great Coasters Int.,2009,2015,Wood,Sit Down,Operating,6/20/2008,Eureka,Missouri,United States,Great Coasters International,"2,713.00",82.00,48.00,0.00,['Chain Lift Hill'],80.00,,,,,,,,,,,
40,White Lightning,Fun Spot America,"Orlando, Fla.",Great Coasters Int.,2013,2015,Wood,Sit Down,Operating,13-May,Orlando,Florida,United States,Great Coasters International,"2,032.00",69.70,44.30,0.00,['Chain Lift Hill'],67.20,1:15,,,,,,,,,,
41,Twister,Knoebels Amusement Resort,"Elysburg, Pa.",Fetterman/Knoebels,1999,2015,Wood,Sit Down,Operating,7/24/1999,Elysburg,Pennsylvania,United States,,"3,900.00",101.60,51.50,0.00,"['Chain Lift Hill', 'Chain Lift Hill']",89.60,2:10,,,,,,,,,,
43,Boardwalk Bullet,Kemah Boardwalk,"Kemah, Texas",M&V/Gravity Group,2007,2015,Wood,Sit Down,Operating,8/31/2007,Kemah,Texas,United States,Martin & Vleminckx,"3,236.00",96.00,51.00,0.00,,92.00,,,56,,,,,,,,
44,Twister,Gröna Lund,"Stockholm, Sweden",Gravity Group,2011,2015,Wood,Sit Down,Operating,5/7/2011,Stockholm,Stockholm,Sweden,Gravitykraft Corporation,"1,544.00",51.00,38.00,0.00,['Chain Lift Hill'],46.00,,3,56,,,,,,,,
45,Comet,Hersheypark,"Hershey, Pa.",PTC/Schmeck,1946,2015,Wood,Sit Down,Operating,5/30/1946,Hershey,Pennsylvania,United States,"Philadelphia Toboggan Coasters, Inc.","3,360.00",84.00,50.00,0.00,['Chain Lift Hill'],78.00,1:45,,,,,,,,,,
47,T Express,Everland,"Yonginsi, South Korea",Intamin,2008,2015,Wood,Sit Down,Operating,3/14/2008,Yongin-si,Gyeonggi-do,South Korea,Intamin Amusement Rides,"5,383.80",183.80,64.60,0.00,['Cable Lift Hill'],150.90,,,77,,,,,,,,
48,Big Dipper,Blackpool Pleasure Beach,"Blackpool, England",PTC/Miller,1923,2015,Wood,Sit Down,Operating,8/23/1923,Lancashire,England,United Kingdom,,"3,300.00",60.00,,0.00,,,2:30,,,,,,,,,,
50,Racer,Kennywood,"West Mifflin, Pa.",PTC/Miller,1927,2015,Wood,Sit Down,Operating,1927,West Mifflin,Pennsylvania,United States,,"4,500.00",72.50,40.00,0.00,"['Chain Lift Hill', 'Chain Lift Hill']",50.00,1:32,,,,,,,,,,
50,Racer,Kennywood,"West Mifflin, Pa.",PTC/Miller,1927,2015,Wood,Sit Down,Removed,1910,West Mifflin,Pennsylvania,United States,,,,,0.00,,,,,,,,,,,,,
1,Boulder Dash,Lake Compounce,"Bristol, Conn.",Custom Coasters,2000,2014,Wood,Sit Down,Operating,5/21/2000,Bristol,Connecticut,United States,"Custom Coasters International, Inc.","4,725.00",,60.00,0.00,,115.00,2:30,,,,,,,,,,
2,El Toro,Six Flags Great Adventure,"Jackson,N.J.",Intamin,2006,2014,Wood,Sit Down,Operating,6/12/2006,Jackson,New Jersey,United States,Intamin Amusement Rides,"4,400.00",181.00,70.00,0.00,"['Cable Lift Hill', 'Hill', 'Hill', 'Hill']",176.00,1:42,,76,,,,,,,,
4,Phoenix,Knoebels Amusement Resort,"Elysburg, Pa.",Dinn – PTC/Schmeck,1985,2014,Wood,Sit Down,Operating,6/15/1985,Elysburg,Pennsylvania,United States,"Philadelphia Toboggan Coasters, Inc.","3,200.00",78.00,45.00,0.00,"['Tunnel', 'Chain Lift Hill']",72.00,2:00,,,,,,,,,,
5,Thunderhead,Dollywood,"Pigeon Forge, Tenn.",Great Coasters Int.,2004,2014,Wood,Sit Down,Operating,4/3/2004,Pigeon Forge,Tennessee,United States,Great Coasters International,"3,230.00",100.40,53.70,0.00,['Chain Lift Hill'],100.00,,,,,,,,,,,
6,Ravine Flyer II,Waldameer,"Erie, Pa.",Gravity Group,2008,2014,Wood,Sit Down,Operating,5/17/2008,Erie,Pennsylvania,United States,,"2,900.00",80.00,57.00,0.00,['Chain Lift Hill'],118.00,1:30,,60,,,,,,,,
9,Outlaw Run,Silver Dollar City,"Branson, Mo.",Rocky Mountain,2013,2014,Wood,Sit Down,Operating,3/15/2013,Branson,Missouri,United States,Rocky Mountain Construction,"2,937.00",107.00,68.00,3.00,"['Chain Lift Hill', 'Over-Banked Inversion', 'Double Heartline Roll']",162.00,1:27,,81,,,,,,,,
10,Balder,Liseberg,"Gothenburg, Sweden",Intamin,2003,2014,Wood,Sit Down,Operating,4/12/2003,Gothenburg,Västra Götaland,Sweden,Intamin Amusement Rides,"3,510.50",118.10,55.90,0.00,"['Chain Lift Hill', 'Tunnel', 'Tunnel']",,2:08,,70,,,,,,,,
12,Prowler,Worlds of Fun,"Kansas City, Mo.",Great Coasters Int.,2009,2014,Wood,Sit Down,Operating,5/2/2009,Kansas City,Missouri,United States,Great Coasters International,"3,074.00",102.30,51.20,0.00,['Chain Lift Hill'],84.90,2:30,,,,,,,,,,
14,Thunderbolt,Kennywood,"West Mifflin, Pa.",Vettel/Miller,1968,2014,Wood,Sit Down,Operating,5/4/1924,West Mifflin,Pennsylvania,United States,,"3,250.00",70.00,55.00,0.00,['Chain Lift Hill'],90.00,1:41,,,,,,,,,,
16,Troy,Toverland,"Sevenum, Netherlands",Great Coasters Int.,2007,2014,Wood,Sit Down,Operating,6/29/2007,Sevenum,Limburg,Netherlands,Great Coasters International,"3,534.00",104.50,54.00,0.00,['Chain Lift Hill'],100.70,1:50,2.4,,,,,,,,,
17,Giant Dipper,Santa Cruz Beach Boardwalk,"Santa Cruz, Calif.",Prior & Church/Looff,1924,2014,Wood,Sit Down,Operating,5/17/1924,Santa Cruz,California,United States,,"2,640.00",70.00,55.00,0.00,,65.00,1:52,,,,,,,,,,
19,Jack Rabbit,Kennywood,"West Mifflin, Pa.",PTC/Miller,1920,2014,Wood,Sit Down,Operating,1920,West Mifflin,Pennsylvania,United States,,"2,132.00",40.00,45.00,0.00,"['Chain Lift Hill', 'Double Dip']",70.00,1:36,,45,,,,,,,,
20,Kentucky Rumbler,Beech Bend,"Bowling Green, Ky.",Great Coasters Int.,2006,2014,Wood,Sit Down,Operating,5/6/2006,Bowling Green,Kentucky,United States,Great Coasters International,"2,827.00",96.00,47.30,0.00,['Chain Lift Hill'],80.20,,,,,,,,,,,
23,Goliath,Six Flags Great America,"Gurnee, Ill.",Rocky Mountain,2014,2014,Wood,Sit Down,Operating,6/19/2014,Gurnee,Illinois,United States,Rocky Mountain Construction,"3,100.00",165.00,72.00,2.00,"['Chain Lift Hill', 'Tunnel', 'Over-Banked Curve', 'Dive Loop', 'Zero-G Stall', 'Tunnel']",180.00,,,85,,,,,,,,
25,Flying Turns,Knoebels Amusement Resort,"Elysburg, Pa.",Knoebels,2013,2014,Wood,Bobsled,Operating,10/5/2013,Elysburg,Pennsylvania,United States,,"1,300.00",50.00,24.00,0.00,"['Chain Lift Hill', 'Chain Lift Hill', 'Chain Lift Hill', 'Chain Lift Hill']",,,,,,,,,,,,
29,El Toro,Freizeitpark Plohn,"Lengenfeldl, Germany",Great Coasters Int.,2009,2014,Wood,Sit Down,Operating,4/10/2009,Lengenfeld,Saxony,Germany,Great Coasters International,"2,379.00",80.50,45.60,0.00,"['Tunnel', 'Tunnel']",70.70,,,,,,,,,,,
30,Blue Streak,Conneaut Lake Park,"Conneaut Lake, Pa.",Vettel,1938,2014,Wood,Sit Down,Removed,7/4/1938,Conneaut Lake,Pennsylvania,United States,,"2,900.00",78.00,,0.00,"['Tunnel', 'Chain Lift Hill']",,2:20,,,,,,,,,,
31,American Thunder,Six Flags St. Louis,"Eureka, Mo.",Great Coasters Int.,2009,2014,Wood,Sit Down,Operating,6/20/2008,Eureka,Missouri,United States,Great Coasters International,"2,713.00",82.00,48.00,0.00,['Chain Lift Hill'],80.00,,,,,,,,,,,
32,Grand National,Blackpool Pleasure Beach,"Blackpool, England",Paige,1935,2014,Wood,Sit Down,Operating,1935,Lancashire,England,United Kingdom,,"3,302.00",62.00,40.00,0.00,,,2:20,,,,,,,,,,
