Rank,Name,Park,Location,Supplier,Year,Awarded
2,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,2021
3,Steel Vengeance,Cedar Point,"Sandusky, Ohio",Rocky Mountain,2018,2021
4,Superman The Ride,Six Flags New England,"Agawam, Massachusetts",Intamin,2000,2021
5,Candymonium,Hersheypark,"Hershey, Pennsylvania",B&M,2020,2021
6,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001,2021
7,Lightning Rod,Dollywood,"Pigeon Forge, Tennessee",Rocky Mountain,2016,2021
8,Leviathan,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2012,2021
9,Maverick,Cedar Point,"Sandusky, Ohio",Intamin,2007,2021
10,Taron,Phantasialand,"Brühl, Germany",Intamin,2016,2021
11,Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Virginia",B&M,1999,2021
12,Iron Rattler,Six Flags Fiesta Texas,"San Antonio, Texas",Rocky Mountain,2013,2021
13,Intimidator 305,Kings Dominion,"Doswell, Virginia",Intamin,2010,2021
14,Nitro,Six Flags Great Adventure,"Jackson, New Jersey",B&M,2001,2021
15,Phantom’s Revenge,Kennywood,"West Mifflin, Pennsylvania",Morgan/Arrow,2001,2021
16,Twisted Colossus,Six Flags Magic Mountain,"Valencia, California",Rocky Mountain,2015,2021
17,Mako,SeaWorld Orlando,"Orlando, Florida",B&M,2016,2021
18,Jurassic World VelociCoaster,Universal’s Islands of Adventure,"Orlando, Florida",Intamin,2021,2021
19,Diamondback,Kings Island,"Mason, Ohio",B&M,2009,2021
20,Magnum XL-200,Cedar Point,"Sandusky, Ohio",Arrow,1989,2021
21,Alpengeist,Busch Gardens Williamsburg,"Williamsburg, Virginia",B&M,1997,2021
22,Montu,Busch Gardens Tampa,"Tampa, Florida",B&M,1996,2021
23 tie,Intimidator,Carowinds,"Charlotte, North Carolina",B&M,2010,2021
23 tie,Steel Curtain,Kennywood,"West Mifflin, Pennsylvania",S&S,2019,2021
25,Mind Bender,Six Flags Over Georgia,"Austell, Georgia",Schwarzkopf,1978,2021
26 tie,Time Traveler,Silver Dollar City,"Branson, Missouri",Mack,2018,2021
26 tie,X2,Six Flags Magic Mountain,"Valencia, California",Arrow,2002,2021
28 tie,Goliath,Six Flags Over Georgia,"Austell, Georgia",B&M,2006,2021
28 tie,Top Thrill Dragster,Cedar Point,"Sandusky, Ohio",Intamin,2003,2021
30,Blue Fire Megacoaster,Europa-Park,"Rust, Germany",Mack,2009,2021
31,Orion,Kings Island,"Mason, Ohio",B&M,2020,2021
32,Nemesis,Alton Towers,"Staffordshire, England",B&M,1994,2021
33 tie,Hagrid’s Magical Creatures Motorbike Adventure,Universal’s Islands of Adventure,"Orlando, Florida",Intamin,2019,2021
33 tie,Skyrush,Hersheypark,"Hershey, Pennsylvania",Intamin,2012,2021
35,Steel Dragon 2000,Nagashima Spa Land,"Nagashima, Japan",Morgan,2000,2021
36,New Texas Giant,Six Flags Over Texas,"Arlington, Texas",Rocky Mountain,2011,2021
37,Banshee,Kings Island,"Mason, Ohio",B&M,2014,2021
38,Behemoth,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2008,2021
39,Twisted Timbers,Kings Dominion,"Doswell, Virginia",Rocky Mountain,2018,2021
40,Helix,Liseberg,"Gothenburg, Sweden",Mack,2014,2021
41,Cheetah Hunt,Busch Gardens Tampa,"Tampa, Florida",Intamin,2011,2021
42 tie,Black Mamba,Phantasialand,"Brϋhl, Germany",B&M,2006,2021
42 tie,Wicked Cyclone,Six Flags New England,"Agawam, Massachusetts",Rocky Mountain,2015,2021
44,Raging Bull,Six Flags Great America,"Gurnee, Illinois",B&M,1999,2021
45,Steel Force,Dorney Park,"Allentown, Pennsylvania",Morgan,1997,2021
46,Jetline,Gröna Lund,"Stockholm, Sweden",Schwarzkopf,1988,2021
47,Shock Wave,Six Flags Over Texas,"Arlington, Texas",Schwarzkopf,1978,2021
48 tie,Cannibal,Lagoon,"Farmington, Utah",ART Engineering,2015,2021
48 tie,Raptor,Cedar Point,"Sandusky, Ohio",B&M,1994,2021
50,Lisebergbanan,Liseberg,"Gothenburg, Sweden",Schwarzkopf,1987,2021
1,Fury 325,Carowinds,"Charlotte, N.C.",B&M,2015,2019
2,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,2019
3,Steel Vengeance,Cedar Point,"Sandusky, Ohio",Rocky Mountain,2018,2019
4,Superman: The Ride,Six Flags New England,"Agawam, Mass.",Intamin,2000,2019
5,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001,2019
6,Twisted Colossus,Six Flags Magic Mountain,"Valencia, Calif.",Rocky Mountain,2015,2019
7,Iron Rattler,Six Flags Fiesta Texas,"San Antonio,Texas",Rocky Mountain,2013,2019
8,Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1999,2019
9,Leviathan,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2012,2019
10,Nitro,Six Flags Great Adventure,"Jackson, N.J.",B&M,2001,2019
11,Intimidator 305,Kings Dominion,"Doswell, Va.",Intamin,2010,2019
12,Phantom’s Revenge,Kennywood,"West Mifflin, Pa.",Arrow/Morgan,2001,2019
13,Maverick,Cedar Point,"Sandusky, Ohio",Intamin,2007,2019
14,Diamondback,Kings Island,"Mason, Ohio",B&M,2009,2019
15,Mako,SeaWorld Orlando,"Orlando, Fla.",B&M,2016,2019
16,Nemesis,Alton Towers,"Staffordshire, England",B&M,1994,2019
17,Taron,Phantasialand,"Brühl, Germany",Intamin,2016,2019
18,Magnum XL-200,Cedar Point,"Sandusky, Ohio",Arrow,1989,2019
19,Helix,Liseberg,"Gothenburg, Sweden",Mack,2014,2019
20,Steel Dragon 2000,Nagashima Spa Land,"Nagashima, Japan",Morgan,2000,2019
21,Top Thrill Dragster,Cedar Point,"Sandusky, Ohio",Intamin,2003,2019
22,Time Traveler,Silver Dollar City,"Branson, Mo.",Mack,2018,2019
23 tie,Blue Fire,Europa-Park,"Rust, Germany",Mack,2009,2019
23 tie,X2,Six Flags Magic Mountain,"Valencia, Calif.",Arrow,2002,2019
25,Mind Bender,Six Flags Over Georgia,"Austell, Ga.",Schwarzkopf,1978,2019
26,New Texas Giant,Six Flags Over Texas,"Arlington, Texas",Rocky Mountain,2011,2019
27,Skyrush,"Hershey, Pennsylvania","Hershey, Pa.",Intamin,2012,2019
28,Intimidator,Carowinds,"Charlotte, N.C.",B&M,2010,2019
29,Behemoth,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2008,2019
30 tie,Goliath,Six Flags Over Georgia,"Austell, Ga.",B&M,2006,2019
30 tie,Montu,Busch Gardens Tampa,"Tampa, Fla.",B&M,1996,2019
32,Alpengeist,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1997,2019
33,Banshee,Kings Island,"Mason, Ohio",B&M,2014,2019
34,Yukon Striker,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2019,2019
35,TRON Lightcycle Power Run,Shaghai Disneyland,"Shanghai, China.",Vekoma,2016,2019
36,Cheetah Hunt,Busch Gardens Tampa,"Tampa, Fla.",Intamin,2011,2019
37,Twisted Timbers,Kings Dominion,"Doswell, Va.",Rocky Mountain,2019,2019
38,Verbolten,Busch Gardens Williamsburg,"Williamsburg, Va.",Zierer,2012,2019
39,Wicked Cyclone,Six Flags New England,"Agawam, Mass.",Rocky Mountain,2015,2019
40,Kumba,Busch Gardens Tampa,"Tampa, Fla.",B&M,1993,2019
41,Cannibal,Lagoon,"Salt Lake City, Utah",In-house/ART Eng.,2015,2019
42,Steel Curtain,Kennywood,"West Mifflin, Pa.",S&S,2019,2019
43,Black Mamba,Phantasialand,"Brϋhl, Germany",B&M,2006,2019
44,Whizzer,Six Flags Great America,"Gurnee, Ill.",Schwarzkopf,1976,2019
45,Full Throttle,Six Flags Magic Mountain,"Valencia, Calif.",Premier,2013,2019
46,Raging Bull,Six Flags Great America,"Gurnee, Ill.",B&M,1999,2019
47 tie,Lisebergbanan,Liseberg,"Gothenburg, Sweden",Schwarzkopf,1987,2019
47 tie,Superman Ride of Steel,Six Flags America,"Largo, Maryland",Intamin,2000,2019
49 tie,Goliath,Six Flags Magic Mountain,"Valencia, Calif.",B&M,2000,2019
49 tie,Tatsu,Six Flags Magic Mountain,"Valencia, Calif.",B&M,2006,2019
1,Fury 325,Carowinds,"Charlotte, N.C.",B&M,2015,2018
2,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,2018
3,Steel Vengeance,Cedar Point,"Sandusky, Ohio",Rocky Mountain,2018,2018
4,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001,2018
5,Superman: The Ride,Six Flags New England,"Agawam, Mass.",Intamin,2000,2018
6,Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1999,2018
7,Iron Rattler,Six Flags Fiesta Texas,"San Antonio, Texas",Rocky Mountain,2013,2018
8,Leviathan,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2012,2018
9,Maverick,Cedar Point,"Sandusky, Ohio",Intamin,2007,2018
10,Diamondback,Kings Island,"Mason, Ohio",B&M,2009,2018
11,Nitro,Six Flags Great Adventure,"Jackson, N.J.",B&M,2001,2018
12,Intimidator 305,Kings Dominion,"Doswell, Va.",Intamin,2010,2018
13,Phantom’s Revenge,Kennywood,"West Mifflin, Pa.",Morgan/Arrow,2001,2018
14,Magnum XL-200,Cedar Point,"Sandusky, Ohio",Arrow,1989,2018
15,Taron,Phantasialand,"Brühl, Germany",Intamin,2016,2018
16,Top Thrill Dragster,Cedar Point,"Sandusky, Ohio",Intamin,2003,2018
17,Mako,SeaWorld Orlando,"Orlando, Fla.",B&M,2016,2018
18,Time Traveler,Silver Dollar City,"Branson, Mo.",Mack,2018,2018
19,Blue Fire,Europa-Park,"Rust, Germany",Mack,2009,2018
20,Nemesis,Alton Towers,"Staffordshire, England",B&M,1994,2018
21,Helix,Liseberg,"Gothenburg, Sweden",Mack,2014,2018
22,Intimidator,Carowinds,"Charlotte, N.C.",B&M,2010,2018
23,New Texas Giant,Six Flags Over Texas,"Arlington, Texas",Rocky Mountain,2011,2018
24,Twisted Colossus,Six Flags Magic Mountain,"Valencia, Calif.",Rocky Mountain,2015,2018
25,Mind Bender,Six Flags Over Georgia,"Austell, Ga.",Schwarzkopf,1978,2018
26,Goliath,Six Flags Over Georgia,"Austell, Ga.",B&M,2006,2018
27,Behemoth,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2008,2018
28,Montu,Busch Gardens Tampa,"Tampa, Fla.",B&M,1996,2018
29,Banshee,Kings Island,"Mason, Ohio",B&M,2014,2018
30,Skyrush,Hersheypark,"Hershey, Pa.",Intamin,2012,2018
31,X2,Six Flags Magic Mountain,"Valencia, Calif.",Arrow,2001,2018
32,Alpengeist,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1997,2018
33,Wicked Cyclone,Six Flags New England,"Agawam, Mass.",Rocky Mountain,2015,2018
34,Black Mamba,Phantasialand,"Brühl, Germany",B&M,2006,2018
35,Cheetah Hunt,Busch Gardens Tampa,"Tampa, Fla.",Intamin,2011,2018
